Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Nabeul,850.0,150.0,Tunisie-annonce TN,2810862,5.666666666666667,"Tunisie,Nabeul,Kelibia,Kelibia"
Nabeul,900.0,160.0,Tunisie-annonce TN,2813184,5.625,"Tunisie,Nabeul,Kelibia,Kelibia"
Ben arous,300.0,65.0,Tunisie-annonce TN,2828094,4.615384615384615,"Tunisie,Ben arous,Hammam Chatt,Borj Cedria"
Nabeul,850.0,150.0,Tunisie-annonce TN,2813205,5.666666666666667,"Tunisie,Nabeul,Kelibia,Kelibia"
Ariana,900.0,140.0,Tunisie-annonce TN,2827061,6.428571428571429,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Mannouba,950.0,210.0,Tunisie-annonce TN,2614985,4.523809523809524,"Tunisie,Manouba,Mannouba,La Mannouba"
Ariana,1250.0,200.0,Tunisie-annonce TN,2772756,6.25,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Nabeul,450.0,40.0,Tunisie-annonce TN,2821815,11.25,"Tunisie,Nabeul,Hammamet,Hammamet"
Bardo,320.0,30.0,Tunisie-annonce TN,2811607,10.666666666666666,"Tunisie,Tunis,Le Bardo,Bouchoucha"
Ariana,165.0,100.0,Tunisie-annonce TN,2831467,1.65,"Tunisie,Ariana,Ariana Ville,El Menzah 7"
Tunis,750.0,75.0,Tunisie-annonce TN,2830273,10.0,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Nabeul,100.0,150.0,Tunisie-annonce TN,2786848,0.6666666666666666,"Tunisie,Nabeul,Kelibia,Kelibia"
Nabeul,120.0,120.0,Tunisie-annonce TN,2828999,1.0,"Tunisie,Nabeul,El Haouaria,Cite Touristique"
Jendouba,120.0,55.0,Tunisie-annonce TN,2831434,2.1818181818181817,"Tunisie,Jendouba,Tabarka,Tabarka"
Ariana,850.0,105.0,Tunisie-annonce TN,2826983,8.095238095238095,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Ariana,380.0,100.0,Tunisie-annonce TN,2828963,3.8,"Tunisie,Ariana,La Soukra,Cite Farhat"
Ben arous,270.0,34.0,Tunisie-annonce TN,2820726,7.9411764705882355,"Tunisie,Ben arous,Hammam Lif,Hammam Lif"
Ariana,1000.0,140.0,Tunisie-annonce TN,2826965,7.142857142857143,"Tunisie,Ariana,Ariana Ville,El Menzah 5"
Ariana,480.0,100.0,Tunisie-annonce TN,2818105,4.8,"Tunisie,Ariana,La Soukra,La Soukra"
Monastir,300.0,50.0,Tunisie-annonce TN,2823610,6.0,"Tunisie,Monastir,Monastir,Zone Skanes"
Nabeul,700.0,90.0,Tunisie-annonce TN,2831403,7.777777777777778,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz"
Ben arous,110.0,90.0,Tunisie-annonce TN,2570420,1.2222222222222223,"Tunisie,Ben arous,Rades,Rades"
Ariana,1200.0,210.0,Tunisie-annonce TN,2766529,5.714285714285714,"Tunisie,Tunis,El Menzah,El Menzah 9"
Ben arous,850.0,180.0,Tunisie-annonce TN,2783593,4.722222222222222,"Tunisie,Ben arous,Hammam Chatt,Hammam Chatt"
Nabeul,850.0,120.0,Tunisie-annonce TN,2831396,7.083333333333333,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz"
Gabes,200.0,65.0,Tunisie-annonce TN,2669344,3.076923076923077,"Tunisie,Gabes,Gabes Sud,Zrig"
Tunis,700.0,100.0,Tunisie-annonce TN,2823367,7.0,"Tunisie,Tunis,Bab Bhar,Bab Bhar"
Gabes,250.0,70.0,Tunisie-annonce TN,2587771,3.5714285714285716,"Tunisie,Gabes,Gabes Sud,Zrig"
Nabeul,880.0,250.0,Tunisie-annonce TN,2807996,3.52,"Tunisie,Nabeul,Kelibia,Kelibia"
Nabeul,880.0,250.0,Tunisie-annonce TN,2782598,3.52,"Tunisie,Nabeul,Kelibia,Kelibia"
Nabeul,880.0,250.0,Tunisie-annonce TN,2819761,3.52,"Tunisie,Nabeul,Kelibia,Kelibia"
Ariana,1200.0,150.0,Tunisie-annonce TN,2745848,8.0,"Tunisie,Tunis,El Menzah,El Menzah 9"
Ariana,480.0,100.0,Tunisie-annonce TN,2831378,4.8,"Tunisie,Ariana,Raoued,Cite El Ghazala 2"
Sousse,100.0,50.0,Tunisie-annonce TN,2824425,2.0,"Tunisie,Sousse,Sousse Ville,Sousse Corniche"
Nabeul,1200.0,56.0,Tunisie-annonce TN,2815658,21.428571428571427,"Tunisie,Nabeul,Hammamet,Cite El Yasmine"
Tunis,580.0,50.0,Tunisie-annonce TN,2831341,11.6,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan"
Nabeul,150.0,120.0,Tunisie-annonce TN,2813894,1.25,"Tunisie,Nabeul,Hammamet,Hammamet"
Nabeul,500.0,70.0,Tunisie-annonce TN,2390077,7.142857142857143,"Tunisie,Nabeul,Hammamet,Hammamet"
Cite el khadra,100.0,100.0,Tunisie-annonce TN,2831340,1.0,"Tunisie,Tunis,Cite El Khadra,Cite El Khadra"
Sousse,1500.0,240.0,Tunisie-annonce TN,2831336,6.25,"Tunisie,Sousse,Sousse Jaouhara,Sahloul"
Ariana,900.0,120.0,Tunisie-annonce TN,2788855,7.5,"Tunisie,Ariana,Ariana Ville,El Menzah 7"
Banlieue Nord,700.0,120.0,Tunisie-annonce TN,2800494,5.833333333333333,"Tunisie,Tunis,La Marsa,Cite Des Mimosas"
Ariana,105.0,55.0,Tunisie-annonce TN,2800822,1.9090909090909092,"Tunisie,Ariana,Raoued,Cite Ennkhilet"
Nabeul,700.0,110.0,Tunisie-annonce TN,2822719,6.363636363636363,"Tunisie,Nabeul,El Haouaria,Cite Touristique"
Sfax,570.0,87.0,Tunisie-annonce TN,2831304,6.551724137931035,"Tunisie,Sfax,Sfax Sud,Sidi Abbes"
Bardo,550.0,78.0,Tunisie-annonce TN,2831302,7.051282051282051,"Tunisie,Tunis,Le Bardo,Le Bardo"
Banlieue Nord,5000.0,250.0,Tunisie-annonce TN,2818964,20.0,"Tunisie,Tunis,La Marsa,Gammart"
Banlieue Nord,850.0,190.0,Tunisie-annonce TN,2805823,4.473684210526316,"Tunisie,Tunis,La Marsa,Cite Bhar Lazreg"
